Sample_ID,Department,Packaging_Type,Temperature_C,Storage_Days,Enzyme_Activity,Yield_Pct,Shelf_Life_Days,Sensory_Score
SMP_001,Microbiology,Packaging_A,25,2,37.46,33.61,15.4,4
SMP_002,Microbiology,Packaging_B,45,7,43.98,55.95,21.1,3
SMP_003,Microbiology,Packaging_A,65,27,57.33,63.14,14.7,5
SMP_004,Microbiology,Packaging_B,85,25,46.33,75.66,25,1
SMP_005,Microbiology,Packaging_A,25,14,38.42,35.73,15.9,5
SMP_006,Microbiology,Packaging_B,45,14,44.78,46.98,28.5,3
SMP_007,Microbiology,Packaging_A,65,21,48.12,66.38,13.7,3
SMP_008,Microbiology,Packaging_B,85,29,44.65,79.36,22.3,4
SMP_009,Microbiology,Packaging_A,25,20,41.49,33.55,8.6,4
SMP_010,Microbiology,Packaging_B,45,6,41.95,49.76,19,5
SMP_011,Microbiology,Packaging_A,65,13,47.75,60.55,12.1,2
SMP_012,Microbiology,Packaging_B,85,29,40.21,77.61,22.2,3
SMP_013,Microbiology,Packaging_A,25,3,47.9,34.61,11.8,3
SMP_014,Microbiology,Packaging_B,45,23,46.98,41.4,20.9,4
SMP_015,Microbiology,Packaging_A,65,14,42.14,68.03,14.8,1
SMP_016,Microbiology,Packaging_B,85,28,44.73,74.92,23.8,3
SMP_017,Microbiology,Packaging_A,25,1,35.05,37.67,11.1,4
SMP_018,Microbiology,Packaging_B,45,26,42.13,54.55,24.4,5
SMP_019,Microbiology,Packaging_A,65,8,50.68,69.98,12.9,5
SMP_020,Microbiology,Packaging_B,85,1,50.3,74.9,19.9,3
SMP_021,Applied Chemistry,Packaging_A,25,8,69.45,32.88,15.1,5
SMP_022,Applied Chemistry,Packaging_B,45,16,70.25,47.07,26.6,3
SMP_023,Applied Chemistry,Packaging_A,65,21,56.76,65.97,18.3,4
SMP_024,Applied Chemistry,Packaging_B,85,2,65.48,70.82,23.5,4
SMP_025,Applied Chemistry,Packaging_A,25,17,64.5,32.45,12,1
SMP_026,Applied Chemistry,Packaging_B,45,7,53.17,46.36,28.1,4
SMP_027,Applied Chemistry,Packaging_A,65,26,62.89,63.46,13.3,4
SMP_028,Applied Chemistry,Packaging_B,85,5,52.1,74.03,22.6,5
SMP_029,Applied Chemistry,Packaging_A,25,20,54.75,37.74,19.9,4
SMP_030,Applied Chemistry,Packaging_B,45,17,61.44,44.55,15.4,1
SMP_031,Applied Chemistry,Packaging_A,65,29,59.74,64.06,16.4,5
SMP_032,Applied Chemistry,Packaging_B,85,18,63.95,79.22,26.5,4
SMP_033,Applied Chemistry,Packaging_A,25,27,64.25,40.38,15.8,4
SMP_034,Applied Chemistry,Packaging_B,45,10,60.67,51.01,21,4
SMP_035,Applied Chemistry,Packaging_A,65,21,58.74,63.61,18.6,3
SMP_036,Applied Chemistry,Packaging_B,85,16,66.79,72.91,26.2,5
SMP_037,Applied Chemistry,Packaging_A,25,16,64.47,39.27,10.8,4
SMP_038,Applied Chemistry,Packaging_B,45,21,65.41,52.36,19.4,3
SMP_039,Applied Chemistry,Packaging_A,65,10,61.44,65.12,15.5,4
SMP_040,Applied Chemistry,Packaging_B,85,7,64.54,75.44,20,2
SMP_041,Food Science,Packaging_A,25,23,51.75,35.42,15.6,3
SMP_042,Food Science,Packaging_B,45,26,51.2,45.45,23.7,4
SMP_043,Food Science,Packaging_A,65,9,55.43,65.47,12.2,3
SMP_044,Food Science,Packaging_B,85,22,55.31,73.68,17.9,3
SMP_045,Food Science,Packaging_A,25,1,54.89,28.53,13,4
SMP_046,Food Science,Packaging_B,45,16,50.3,51.46,25.6,5
SMP_047,Food Science,Packaging_A,65,4,54.63,60.38,14.9,3
SMP_048,Food Science,Packaging_B,85,5,51.24,72.12,25.5,2
SMP_049,Food Science,Packaging_A,25,2,57.93,35,13.1,2
SMP_050,Food Science,Packaging_B,45,6,55.13,47.87,24.6,4
SMP_051,Food Science,Packaging_A,65,10,55.87,60.14,13.7,4
SMP_052,Food Science,Packaging_B,85,25,53.15,74.08,21.7,4
SMP_053,Food Science,Packaging_A,25,18,45.69,39.83,7.7,4
SMP_054,Food Science,Packaging_B,45,20,50.85,50.79,24.3,4
SMP_055,Food Science,Packaging_A,65,3,60.04,61.22,17.8,4
SMP_056,Food Science,Packaging_B,85,4,60.21,74.48,21.9,4
SMP_057,Food Science,Packaging_A,25,25,58.53,33.4,11.1,5
SMP_058,Food Science,Packaging_B,45,24,61.62,49.14,26.9,4
SMP_059,Food Science,Packaging_A,65,4,57.76,59.98,11.2,5
SMP_060,Food Science,Packaging_B,85,10,53.72,72.86,23,4
